name, ncIn, ncOut, cIn, cOut, speed, time,,
1,30,750,750,1350,30,1320,,
2,60,780,780,1380,30,1320,,
3,90,810,810,1410,30,1320,,
4,120,840,840,1440,30,1320,,
5,150,870,870,1470,30,1320,,
6,180,900,900,1500,30,1320,,
7,210,930,930,1530,30,1320,,
8,240,960,960,1560,30,1320,,
9,270,990,990,1590,30,1320,,
10,300,1020,1020,1620,40,1320,,
11,330,1050,1050,1621,40,1291,,
12,360,1080,1080,1622,40,1262,,
13,390,1110,1110,1623,40,1233,,
14,420,1140,1140,1624,40,1204,,
15,450,1170,1170,1625,40,1175,,
16,480,1200,1200,1650,40,1170,,
17,510,1230,1230,1680,40,1170,,
18,540,1260,1260,1710,40,1170,,
19,570,1290,1290,1740,40,1170,,
20,600,1320,1320,1770,40,1170,,
21,630,1350,1350,1800,40,1170,,
22,660,1380,1380,1830,40,1170,,
23,690,1410,1410,1860,40,1170,,
24,720,1440,1440,1890,40,1170,,
25,750,1470,1470,1920,40,1170,,
26,780,1500,1500,1950,40,1170,,
27,810,1530,1530,1980,40,1170,,
28,840,1560,1560,2010,40,1170,,
29,870,1590,1590,2040,40,1170,,
30,900,1620,1620,2070,40,1170,,
31,930,1650,1650,2250,30,1320,,
32,960,1680,1680,2280,30,1320,,
33,990,1710,1710,2310,30,1320,,
34,1020,1740,1740,2340,30,1320,,
35,1050,1770,1770,2370,30,1320,,
36,1080,1800,1800,2400,30,1320,,
37,1110,1830,1830,2430,30,1320,,
38,1140,1860,1860,2460,30,1320,,
39,1170,1890,1890,2490,30,1320,,
40,1200,1920,1920,2520,40,1320,,
41,1230,1950,1950,2521,40,1291,,
42,1260,1980,1980,2522,40,1262,,
43,1290,2010,2010,2523,40,1233,,
44,1320,2040,2040,2524,40,1204,,
45,1350,2070,2070,2525,40,1175,,
46,1380,2100,2100,2550,40,1170,,
47,1410,2130,2130,2580,40,1170,,
48,1440,2160,2160,2610,40,1170,,
49,1470,2190,2190,2640,40,1170,,
50,1500,2220,2220,2670,40,1170,,
51,1530,2250,2250,2700,40,1170,,
52,1560,2280,2280,2730,40,1170,,
53,1590,2310,2310,2760,40,1170,,
54,1620,2340,2340,2790,40,1170,,
55,1650,2370,2370,2820,40,1170,,
56,1680,2400,2400,2850,40,1170,,
57,1710,2430,2430,2880,40,1170,,
58,1740,2460,2460,2910,40,1170,,
59,1770,2490,2490,2940,40,1170,,
60,1800,2520,2520,2970,40,1170,,
61,1830,2550,2550,3150,30,1320,,
62,1860,2580,2580,3180,30,1320,,
63,1890,2610,2610,3210,30,1320,,
64,1920,2640,2640,3240,30,1320,,
65,1950,2670,2670,3270,30,1320,,
66,1980,2700,2700,3300,30,1320,,
67,2010,2730,2730,3330,30,1320,,
68,2040,2760,2760,3360,30,1320,,
69,2070,2790,2790,3390,30,1320,,
70,2100,2820,2820,3420,40,1320,,
71,2130,2850,2850,3421,40,1291,,
72,2160,2880,2880,3422,40,1262,,
73,2190,2910,2910,3423,40,1233,,
74,2220,2940,2940,3424,40,1204,,
75,2250,2970,2970,3425,40,1175,,
76,2280,3000,3000,3450,40,1170,,
77,2310,3030,3030,3480,40,1170,,
78,2340,3060,3060,3510,40,1170,,
79,2370,3090,3090,3540,40,1170,,
80,2400,3120,3120,3570,40,1170,,
81,2430,3150,3150,3600,40,1170,,
82,2460,3180,3180,3630,40,1170,,
83,2490,3210,3210,3660,40,1170,,
84,2520,3240,3240,3690,40,1170,,
85,2550,3270,3270,3720,40,1170,,
86,2580,3300,3300,3750,40,1170,,
87,2610,3330,3330,3780,40,1170,,
88,2640,3360,3360,3810,40,1170,,
89,2670,3390,3390,3840,40,1170,,
90,2700,3420,3420,3870,40,1170,,
91,2730,3450,3450,4050,30,1320,,
92,2760,3480,3480,4080,30,1320,,
93,2790,3510,3510,4110,30,1320,,
94,2820,3540,3540,4140,30,1320,,
95,2850,3570,3570,4170,30,1320,,
96,2880,3600,3600,4200,30,1320,,
97,2910,3630,3630,4230,30,1320,,
98,2940,3660,3660,4260,30,1320,,
99,2970,3690,3690,4290,30,1320,,
100,3000,3720,3720,4320,30,1320,,
101,3030,3750,3750,4350,30,1320,,
102,3060,3780,3780,4380,30,1320,,
103,3090,3810,3810,4410,30,1320,,
104,3120,3840,3840,4440,30,1320,,
105,3150,3870,3870,4470,30,1320,,
106,3180,3900,3900,4471,40,1291,,
107,3210,3930,3930,4472,40,1262,,
108,3240,3960,3960,4473,40,1233,,
109,3270,3990,3990,4474,40,1204,,
110,3300,4020,4020,4475,40,1175,,
111,3330,4050,4050,4500,40,1170,,
112,3360,4080,4080,4530,40,1170,,
113,3390,4110,4110,4560,40,1170,,
114,3420,4140,4140,4590,40,1170,,
115,3450,4170,4170,4620,40,1170,,
116,3480,4200,4200,4650,40,1170,,
117,3510,4230,4230,4680,40,1170,,
118,3540,4260,4260,4710,40,1170,,
119,3570,4290,4290,4740,40,1170,,
,,,,,,,,
,,,,,,1237.310924,,every 30
