name, ncIn, ncOut, cIn, cOut, speed, time,,,,,
1,35,755,755,1205,40,1170,,,,,
2,70,790,790,1240,40,1170,,,,,
3,105,825,825,1275,40,1170,,,,,
4,140,860,860,1310,40,1170,,,,,
5,175,895,895,1345,40,1170,,,,,
6,210,930,930,1380,40,1170,,,,,
7,245,965,965,1415,40,1170,,,,,
8,280,1000,1000,1450,40,1170,,,,,
9,315,1035,1035,1485,40,1170,,,,,
10,350,1070,1070,1520,40,1170,,,,,
11,385,1105,1105,1555,40,1170,,,,,
12,420,1140,1140,1590,40,1170,,,,,
13,455,1175,1175,1625,40,1170,,,,,
14,490,1210,1210,1660,40,1170,,,,,
15,525,1245,1245,1695,40,1170,,,,,
16,560,1280,1280,1730,40,1170,,,,,
17,595,1315,1315,1765,40,1170,,,,,
18,630,1350,1350,1800,40,1170,,,,,
19,665,1385,1385,1835,40,1170,,,,,
20,700,1420,1420,1870,40,1170,,,,,
21,735,1455,1455,1905,40,1170,,,,,
22,770,1490,1490,1940,40,1170,,,,,
23,805,1525,1525,1975,40,1170,,,,,
24,840,1560,1560,2010,40,1170,,,,,
25,875,1595,1595,2045,40,1170,,,,,
26,910,1630,1630,2080,40,1170,,,,,
27,945,1665,1665,2115,40,1170,,,,,
28,980,1700,1700,2150,40,1170,,,,,
29,1015,1735,1735,2185,40,1170,,,,,
30,1050,1770,1770,2220,40,1170,,,,,
31,1085,1805,1805,2255,40,1170,,,,,
32,1120,1840,1840,2290,40,1170,,,,,
33,1155,1875,1875,2325,40,1170,,,,,
34,1190,1910,1910,2360,40,1170,,,,,
35,1225,1945,1945,2395,40,1170,,,,,
36,1260,1980,1980,2430,40,1170,,,,,
37,1295,2015,2015,2465,40,1170,,,,,
38,1330,2050,2050,2500,40,1170,,,,,
39,1365,2085,2085,2535,40,1170,,,,,
40,1400,2120,2120,2570,40,1170,,,,,
41,1435,2155,2155,2605,40,1170,,,,,
42,1470,2190,2190,2640,40,1170,,,,,
43,1505,2225,2225,2675,40,1170,,,,,
44,1540,2260,2260,2710,40,1170,,,,,
45,1575,2295,2295,2745,40,1170,,,,,
46,1610,2330,2330,2780,40,1170,,,,,
47,1645,2365,2365,2815,40,1170,,,,,
48,1680,2400,2400,2850,40,1170,,,,,
49,1715,2435,2435,2885,40,1170,,,,,
50,1750,2470,2470,2920,40,1170,,,,,
51,1785,2505,2505,2955,40,1170,,,,,
52,1820,2540,2540,2990,40,1170,,,,,
53,1855,2575,2575,3025,40,1170,,,,,
54,1890,2610,2610,3060,40,1170,,,,,
55,1925,2645,2645,3095,40,1170,,,,,
56,1960,2680,2680,3130,40,1170,,,,,
57,1995,2715,2715,3165,40,1170,,,,,
58,2030,2750,2750,3200,40,1170,,,,,
59,2065,2785,2785,3235,40,1170,,,,,
60,2100,2820,2820,3270,40,1170,,,,,
61,2135,2855,2855,3305,40,1170,,,,,
62,2170,2890,2890,3340,40,1170,,,,,
63,2205,2925,2925,3375,40,1170,,,,,
64,2240,2960,2960,3410,40,1170,,,,,
65,2275,2995,2995,3445,40,1170,,,,,
66,2310,3030,3030,3480,40,1170,,,,,
67,2345,3065,3065,3515,40,1170,,,,,
68,2380,3100,3100,3550,40,1170,,,,,
69,2415,3135,3135,3585,40,1170,,,,,
70,2450,3170,3170,3620,40,1170,,,,,
71,2485,3205,3205,3655,40,1170,,,,,
72,2520,3240,3240,3690,40,1170,,,,,
73,2555,3275,3275,3725,40,1170,,,,,
74,2590,3310,3310,3760,40,1170,,,,,
75,2625,3345,3345,3795,40,1170,,,,,
76,2660,3380,3380,3830,40,1170,,,,,
77,2695,3415,3415,3865,40,1170,,,,,
78,2730,3450,3450,3900,40,1170,,,,,
79,2765,3485,3485,3935,40,1170,,,,,
80,2800,3520,3520,3970,40,1170,,,,,
81,2835,3555,3555,4005,40,1170,,,,,
82,2870,3590,3590,4040,40,1170,,,,,
83,2905,3625,3625,4075,40,1170,,,,,
84,2940,3660,3660,4110,40,1170,,,,,
85,2975,3695,3695,4145,40,1170,,,,,
86,3010,3730,3730,4180,40,1170,,,,,
87,3045,3765,3765,4215,40,1170,,,,,
88,3080,3800,3800,4250,40,1170,,,,,
89,3115,3835,3835,4285,40,1170,,,,,
90,3150,3870,3870,4320,40,1170,,,,,
91,3185,3905,3905,4355,40,1170,,,,,
92,3220,3940,3940,4390,40,1170,,,,,
93,3255,3975,3975,4425,40,1170,,,,,
94,3290,4010,4010,4460,40,1170,,,,,
95,3325,4045,4045,4495,40,1170,,,,,
96,3360,4080,4080,4530,40,1170,,,,,
97,3395,4115,4115,4565,40,1170,,,,,
98,3430,4150,4150,4600,40,1170,,,,,
99,3465,4185,4185,4635,40,1170,,,,,
100,3500,4220,4220,4670,40,1170,,,,,
101,3535,4255,4255,4705,40,1170,,,,,
102,3570,4290,4290,4740,40,1170,,,,,
103,3605,4325,4325,4775,40,1170,,,,,
104,3640,4360,4360,4810,40,1170,,,,,
105,3675,4395,4395,4845,40,1170,,,,,
106,3710,4430,4430,4880,40,1170,,,,,
107,3745,4465,4465,4915,40,1170,,,,,
108,3780,4500,4500,4950,40,1170,,,,,
109,3815,4535,4535,4985,40,1170,,,,,
110,3850,4570,4570,5020,40,1170,,,,,
111,3885,4605,4605,5055,40,1170,,,,,
112,3920,4640,4640,5090,40,1170,,,,,
113,3955,4675,4675,5125,40,1170,,,,,
114,3990,4710,4710,5160,40,1170,,,,,
115,4025,4745,4745,5195,40,1170,,,,,
116,4060,4780,4780,5230,40,1170,,,,,
117,4095,4815,4815,5265,40,1170,,,,,
118,4130,4850,4850,5300,40,1170,,,,,
119,4165,4885,4885,5335,40,1170,,,,,
,,,,,,,,,4635.30252,,every 10 sec
,,,,,,,,,1237.31092,,every 30
,,,,,,,,,1170,,every 35
,,,,,,,,,17676.2689,,every min
