name, time, speed, ncIn, ncOut, cIn, cOut, speed, time,
1,2520,10,5,725,725,2525,10,2520,
2,2516,40,10,730,730,2526,40,2516,
3,2512,40,15,735,735,2527,40,2512,
4,2508,40,20,740,740,2528,40,2508,
5,2504,40,25,745,745,2529,40,2504,
6,2500,40,30,750,750,2530,40,2500,
7,2496,40,35,755,755,2531,40,2496,
8,2492,40,40,760,760,2532,40,2492,
9,2488,40,45,765,765,2533,40,2488,
10,2484,40,50,770,770,2534,40,2484,
11,2480,40,55,775,775,2535,40,2480,
12,2476,40,60,780,780,2536,40,2476,
13,2472,40,65,785,785,2537,40,2472,
14,2468,40,70,790,790,2538,40,2468,
15,2464,40,75,795,795,2539,40,2464,
16,2460,40,80,800,800,2540,40,2460,
17,2456,40,85,805,805,2541,40,2456,
18,2452,40,90,810,810,2542,40,2452,
19,2448,40,95,815,815,2543,40,2448,
20,2444,40,100,820,820,2544,40,2444,
21,2440,40,105,825,825,2545,40,2440,
22,2436,40,110,830,830,2546,40,2436,
23,2432,40,115,835,835,2547,40,2432,
24,2428,40,120,840,840,2548,40,2428,
25,2424,40,125,845,845,2549,40,2424,
26,2420,40,130,850,850,2550,40,2420,
27,2416,40,135,855,855,2551,40,2416,
28,2412,40,140,860,860,2552,40,2412,
29,2408,40,145,865,865,2553,40,2408,
30,2826,40,150,2526,2526,2976,40,2826,
31,4172,10,155,2527,2527,4327,10,4172,
32,4168,40,160,2528,2528,4328,40,4168,
33,4164,40,165,2529,2529,4329,40,4164,
34,4160,40,170,2530,2530,4330,40,4160,
35,4156,40,175,2531,2531,4331,40,4156,
36,4152,40,180,2532,2532,4332,40,4152,
37,4148,40,185,2533,2533,4333,40,4148,
38,4144,40,190,2534,2534,4334,40,4144,
39,4140,40,195,2535,2535,4335,40,4140,
40,4136,40,200,2536,2536,4336,40,4136,
41,4132,40,205,2537,2537,4337,40,4132,
42,4128,40,210,2538,2538,4338,40,4128,
43,4124,40,215,2539,2539,4339,40,4124,
44,4120,40,220,2540,2540,4340,40,4120,
45,4116,40,225,2541,2541,4341,40,4116,
46,4112,40,230,2542,2542,4342,40,4112,
47,4108,40,235,2543,2543,4343,40,4108,
48,4104,40,240,2544,2544,4344,40,4104,
49,4100,40,245,2545,2545,4345,40,4100,
50,4096,40,250,2546,2546,4346,40,4096,
51,4092,40,255,2547,2547,4347,40,4092,
52,4088,40,260,2548,2548,4348,40,4088,
53,4084,40,265,2549,2549,4349,40,4084,
54,4080,40,270,2550,2550,4350,40,4080,
55,4076,40,275,2551,2551,4351,40,4076,
56,4072,40,280,2552,2552,4352,40,4072,
57,4068,40,285,2553,2553,4353,40,4068,
58,4064,40,290,2554,2554,4354,40,4064,
59,4060,40,295,2977,2977,4355,40,4060,
60,4478,40,300,4328,4328,4778,40,4478,
61,5824,10,305,4329,4329,6129,10,5824,
62,5820,40,310,4330,4330,6130,40,5820,
63,5816,40,315,4331,4331,6131,40,5816,
64,5812,40,320,4332,4332,6132,40,5812,
65,5808,40,325,4333,4333,6133,40,5808,
66,5804,40,330,4334,4334,6134,40,5804,
67,5800,40,335,4335,4335,6135,40,5800,
68,5796,40,340,4336,4336,6136,40,5796,
69,5792,40,345,4337,4337,6137,40,5792,
70,5788,40,350,4338,4338,6138,40,5788,
71,5784,40,355,4339,4339,6139,40,5784,
72,5780,40,360,4340,4340,6140,40,5780,
73,5776,40,365,4341,4341,6141,40,5776,
74,5772,40,370,4342,4342,6142,40,5772,
75,5768,40,375,4343,4343,6143,40,5768,
76,5764,40,380,4344,4344,6144,40,5764,
77,5760,40,385,4345,4345,6145,40,5760,
78,5756,40,390,4346,4346,6146,40,5756,
79,5752,40,395,4347,4347,6147,40,5752,
80,5748,40,400,4348,4348,6148,40,5748,
81,5744,40,405,4349,4349,6149,40,5744,
82,5740,40,410,4350,4350,6150,40,5740,
83,5736,40,415,4351,4351,6151,40,5736,
84,5732,40,420,4352,4352,6152,40,5732,
85,5728,40,425,4353,4353,6153,40,5728,
86,5724,40,430,4354,4354,6154,40,5724,
87,5720,40,435,4355,4355,6155,40,5720,
88,5716,40,440,4356,4356,6156,40,5716,
89,5712,40,445,4779,4779,6157,40,5712,
90,6130,40,450,6130,6130,6580,40,6130,
91,7476,10,455,6131,6131,7931,10,7476,
92,7472,10,460,6132,6132,7932,10,7472,
93,7468,10,465,6133,6133,7933,10,7468,
94,7464,20,470,6134,6134,7934,20,7464,
95,7460,20,475,6135,6135,7935,20,7460,
96,7456,20,480,6136,6136,7936,20,7456,
97,7452,20,485,6137,6137,7937,20,7452,
98,7448,30,490,6138,6138,7938,30,7448,
99,7444,30,495,6139,6139,7939,30,7444,
100,7440,30,500,6140,6140,7940,30,7440,
101,7436,30,505,6141,6141,7941,30,7436,
102,7432,30,510,6142,6142,7942,30,7432,
103,7428,30,515,6143,6143,7943,30,7428,
104,7424,30,520,6144,6144,7944,30,7424,
105,7420,30,525,6145,6145,7945,30,7420,
106,7416,40,530,6146,6146,7946,40,7416,
107,7412,40,535,6147,6147,7947,40,7412,
108,7408,40,540,6148,6148,7948,40,7408,
109,7404,40,545,6149,6149,7949,40,7404,
110,7400,40,550,6150,6150,7950,40,7400,
111,7396,40,555,6151,6151,7951,40,7396,
112,7392,40,560,6152,6152,7952,40,7392,
113,7388,40,565,6153,6153,7953,40,7388,
114,7384,40,570,6154,6154,7954,40,7384,
