name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,965,965,965,40,960,,
2,10,970,970,970,40,960,,
3,15,975,975,975,40,960,,
4,20,980,980,980,40,960,,
5,25,985,985,985,40,960,,
6,30,990,990,990,40,960,,
7,35,995,995,995,40,960,,
8,40,1000,1000,1000,40,960,,
9,45,1005,1005,1005,40,960,,
10,50,1010,1010,1010,40,960,,
11,55,1015,1015,1015,40,960,,
12,60,1020,1020,1020,40,960,,
13,65,1025,1025,1025,40,960,,
14,70,1030,1030,1030,40,960,,
15,75,1035,1035,1035,40,960,,
16,80,1040,1040,1040,40,960,,
17,85,1045,1045,1045,40,960,,
18,90,1050,1050,1050,40,960,,
19,95,1055,1055,1055,40,960,,
20,100,1060,1060,1060,40,960,,
21,105,1065,1065,1065,40,960,,
22,110,1070,1070,1070,40,960,,
23,115,1075,1075,1075,40,960,,
24,120,1080,1080,1080,40,960,,
25,125,1085,1085,1085,40,960,,
26,130,1090,1090,1090,40,960,,
27,135,1095,1095,1095,40,960,,
28,140,1100,1100,1100,40,960,,
29,145,1105,1105,1105,40,960,,
30,150,1110,1110,1110,40,960,,
31,155,1115,1115,1115,40,960,,
32,160,1120,1120,1120,40,960,,
33,165,1125,1125,1125,40,960,,
34,170,1130,1130,1130,40,960,,
35,175,1135,1135,1135,40,960,,
36,180,1140,1140,1140,40,960,,
37,185,1145,1145,1145,40,960,,
38,190,1150,1150,1150,40,960,,
39,195,1155,1155,1155,40,960,,
40,200,1160,1160,1160,40,960,,
41,205,1165,1165,1165,40,960,,
42,210,1170,1170,1170,40,960,,
43,215,1175,1175,1175,40,960,,
44,220,1180,1180,1180,40,960,,
45,225,1185,1185,1185,40,960,,
46,230,1190,1190,1190,40,960,,
47,235,1195,1195,1195,40,960,,
48,240,1200,1200,1200,40,960,,
49,245,1205,1205,1205,40,960,,
50,250,1210,1210,1210,40,960,,
51,255,1215,1215,1215,40,960,,
52,260,1220,1220,1220,40,960,,
53,265,1225,1225,1225,40,960,,
54,270,1230,1230,1230,40,960,,
55,275,1235,1235,1235,40,960,,
56,280,1240,1240,1240,40,960,,
57,285,1245,1245,1245,40,960,,
58,290,1250,1250,1250,40,960,,
59,295,1255,1255,1255,40,960,,
60,300,1260,1260,1260,40,960,,
61,305,1265,1265,1265,40,960,,
62,310,1270,1270,1270,40,960,,
63,315,1275,1275,1275,40,960,,
64,320,1280,1280,1280,40,960,,
65,325,1285,1285,1285,40,960,,
66,330,1290,1290,1290,40,960,,
67,335,1295,1295,1295,40,960,,
68,340,1300,1300,1300,40,960,,
69,345,1305,1305,1305,40,960,,
70,350,1310,1310,1310,40,960,,
71,355,1315,1315,1315,40,960,,
72,360,1320,1320,1320,40,960,,
73,365,1325,1325,1325,40,960,,
74,370,1330,1330,1330,40,960,,
75,375,1335,1335,1335,40,960,,
76,380,1340,1340,1340,40,960,,
77,385,1345,1345,1345,40,960,,
78,390,1350,1350,1350,40,960,,
79,395,1355,1355,1355,40,960,,
80,400,1360,1360,1360,40,960,,
81,405,1365,1365,1365,40,960,,
82,410,1370,1370,1370,40,960,,
83,415,1375,1375,1375,40,960,,
84,420,1380,1380,1380,40,960,,
85,425,1385,1385,1385,40,960,,
86,430,1390,1390,1390,40,960,,
87,435,1395,1395,1395,40,960,,
88,440,1400,1400,1400,40,960,,
89,445,1405,1405,1405,40,960,,
90,450,1410,1410,1410,40,960,,
91,455,1415,1415,1415,40,960,,
92,460,1420,1420,1420,40,960,,
93,465,1425,1425,1425,40,960,,
94,470,1430,1430,1430,40,960,,
95,475,1435,1435,1435,40,960,,
96,480,1440,1440,1440,40,960,,
97,485,1445,1445,1445,40,960,,
98,490,1450,1450,1450,40,960,,
99,495,1455,1455,1455,40,960,,
100,500,1460,1460,1460,40,960,,
101,505,1465,1465,1465,40,960,,
102,510,1470,1470,1470,40,960,,
103,515,1475,1475,1475,40,960,,
104,520,1480,1480,1480,40,960,,
105,525,1485,1485,1485,40,960,,
106,530,1490,1490,1490,40,960,,
107,535,1495,1495,1495,40,960,,
108,540,1500,1500,1500,40,960,,
109,545,1505,1505,1505,40,960,,
110,550,1510,1510,1510,40,960,,
111,555,1515,1515,1515,40,960,,
112,560,1520,1520,1520,40,960,,
113,565,1525,1525,1525,40,960,,
114,570,1530,1530,1530,40,960,,
115,575,1535,1535,1535,40,960,,
116,580,1540,1540,1540,40,960,,
117,585,1545,1545,1545,40,960,,
118,590,1550,1550,1550,40,960,,
119,595,1555,1555,1555,40,960,,
,,,,,,,,
,,,,,,960,,20nc/0c
