name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,245,245,5645,10,5640,,
2,10,250,250,5646,40,5636,,
3,15,255,255,5647,40,5632,,
4,20,260,260,5648,40,5628,,
5,25,265,265,5649,40,5624,,
6,30,270,270,5650,40,5620,,
7,35,275,275,5651,40,5616,,
8,40,280,280,5652,40,5612,,
9,45,285,285,5653,40,5608,,
10,50,290,290,5654,40,5604,,
11,55,295,295,5655,40,5600,,
12,60,300,300,5656,40,5596,,
13,65,305,305,5657,40,5592,,
14,70,310,310,5658,40,5588,,
15,75,315,315,5659,40,5584,,
16,80,320,320,5660,40,5580,,
17,85,325,325,5661,40,5576,,
18,90,330,330,5662,40,5572,,
19,95,335,335,5663,40,5568,,
20,100,340,340,5664,40,5564,,
21,105,345,345,5665,40,5560,,
22,110,350,350,5666,40,5556,,
23,115,355,355,5667,40,5552,,
24,120,360,360,5668,40,5548,,
25,125,365,365,5669,40,5544,,
26,130,370,370,5670,40,5540,,
27,135,375,375,5671,40,5536,,
28,140,380,380,5672,40,5532,,
29,145,385,385,5673,40,5528,,
30,150,5646,5646,6996,40,6846,,
31,155,5647,5647,11047,10,10892,,
32,160,5648,5648,11048,40,10888,,
33,165,5649,5649,11049,40,10884,,
34,170,5650,5650,11050,40,10880,,
35,175,5651,5651,11051,40,10876,,
36,180,5652,5652,11052,40,10872,,
37,185,5653,5653,11053,40,10868,,
38,190,5654,5654,11054,40,10864,,
39,195,5655,5655,11055,40,10860,,
40,200,5656,5656,11056,40,10856,,
41,205,5657,5657,11057,40,10852,,
42,210,5658,5658,11058,40,10848,,
43,215,5659,5659,11059,40,10844,,
44,220,5660,5660,11060,40,10840,,
45,225,5661,5661,11061,40,10836,,
46,230,5662,5662,11062,40,10832,,
47,235,5663,5663,11063,40,10828,,
48,240,5664,5664,11064,40,10824,,
49,245,5665,5665,11065,40,10820,,
50,250,5666,5666,11066,40,10816,,
51,255,5667,5667,11067,40,10812,,
52,260,5668,5668,11068,40,10808,,
53,265,5669,5669,11069,40,10804,,
54,270,5670,5670,11070,40,10800,,
55,275,5671,5671,11071,40,10796,,
56,280,5672,5672,11072,40,10792,,
57,285,5673,5673,11073,40,10788,,
58,290,5674,5674,11074,40,10784,,
59,295,6997,6997,11075,40,10780,,
60,300,11048,11048,12398,40,12098,,
61,305,11049,11049,16449,10,16144,,
62,310,11050,11050,16450,40,16140,,
63,315,11051,11051,16451,40,16136,,
64,320,11052,11052,16452,40,16132,,
65,325,11053,11053,16453,40,16128,,
66,330,11054,11054,16454,40,16124,,
67,335,11055,11055,16455,40,16120,,
68,340,11056,11056,16456,40,16116,,
69,345,11057,11057,16457,40,16112,,
70,350,11058,11058,16458,40,16108,,
71,355,11059,11059,16459,40,16104,,
72,360,11060,11060,16460,40,16100,,
73,365,11061,11061,16461,40,16096,,
74,370,11062,11062,16462,40,16092,,
75,375,11063,11063,16463,40,16088,,
76,380,11064,11064,16464,40,16084,,
77,385,11065,11065,16465,40,16080,,
78,390,11066,11066,16466,40,16076,,
79,395,11067,11067,16467,40,16072,,
80,400,11068,11068,16468,40,16068,,
81,405,11069,11069,16469,40,16064,,
82,410,11070,11070,16470,40,16060,,
83,415,11071,11071,16471,40,16056,,
84,420,11072,11072,16472,40,16052,,
85,425,11073,11073,16473,40,16048,,
86,430,11074,11074,16474,40,16044,,
87,435,11075,11075,16475,40,16040,,
88,440,11076,11076,16476,40,16036,,
89,445,12399,12399,16477,40,16032,,
90,450,16450,16450,17800,40,17350,,
91,455,16451,16451,21851,10,21396,,
92,460,16452,16452,21852,10,21392,,
93,465,16453,16453,21853,10,21388,,
94,470,16454,16454,21854,20,21384,,
95,475,16455,16455,21855,20,21380,,
96,480,16456,16456,21856,20,21376,,
97,485,16457,16457,21857,20,21372,,
98,490,16458,16458,21858,30,21368,,
99,495,16459,16459,21859,30,21364,,
100,500,16460,16460,21860,30,21360,,
101,505,16461,16461,21861,30,21356,,
102,510,16462,16462,21862,30,21352,,
103,515,16463,16463,21863,30,21348,,
104,520,16464,16464,21864,30,21344,,
105,525,16465,16465,21865,30,21340,,
106,530,16466,16466,21866,40,21336,,
107,535,16467,16467,21867,40,21332,,
108,540,16468,16468,21868,40,21328,,
109,545,16469,16469,21869,40,21324,,
110,550,16470,16470,21870,40,21320,,
111,555,16471,16471,21871,40,21316,,
112,560,16472,16472,21872,40,21312,,
113,565,16473,16473,21873,40,21308,,
114,570,16474,16474,21874,40,21304,,
115,575,16475,16475,21875,40,21300,,
116,580,16476,16476,21876,40,21296,,
117,585,16477,16477,21877,40,21292,,
118,590,16478,16478,21878,40,21288,,
119,595,17801,17801,21879,40,21284,,
,,,,,,,,
,,,,,,13427.61345,,5nc/15c
