name, ncIn, ncOut, cIn, cOut, speed, time,,
1,5,725,725,1368,28,1363,,
2,10,730,730,1369,40,1359,,
3,15,735,735,1370,40,1355,,
4,20,740,740,1371,40,1351,,
5,25,745,745,1372,40,1347,,
6,30,750,750,1373,40,1343,,
7,35,755,755,1374,40,1339,,
8,40,760,760,1375,40,1335,,
9,45,765,765,1376,40,1331,,
10,50,770,770,1377,40,1327,,
11,55,775,775,1378,40,1323,,
12,60,780,780,1379,40,1319,,
13,65,785,785,1380,40,1315,,
14,70,790,790,1381,40,1311,,
15,75,795,795,1382,40,1307,,
16,80,800,800,1383,40,1303,,
17,85,805,805,1384,40,1299,,
18,90,810,810,1385,40,1295,,
19,95,815,815,1386,40,1291,,
20,100,820,820,1387,40,1287,,
21,105,825,825,1388,40,1283,,
22,110,830,830,1389,40,1279,,
23,115,835,835,1390,40,1275,,
24,120,840,840,1391,40,1271,,
25,125,845,845,1392,40,1267,,
26,130,850,850,1393,40,1263,,
27,135,855,855,1394,40,1259,,
28,140,860,860,1395,40,1255,,
29,145,865,865,1396,40,1251,,
30,150,1369,1369,1819,40,1669,,
31,155,1370,1370,2013,28,1858,,
32,160,1371,1371,2014,40,1854,,
33,165,1372,1372,2015,40,1850,,
34,170,1373,1373,2016,40,1846,,
35,175,1374,1374,2017,40,1842,,
36,180,1375,1375,2018,40,1838,,
37,185,1376,1376,2019,40,1834,,
38,190,1377,1377,2020,40,1830,,
39,195,1378,1378,2021,40,1826,,
40,200,1379,1379,2022,40,1822,,
41,205,1380,1380,2023,40,1818,,
42,210,1381,1381,2024,40,1814,,
43,215,1382,1382,2025,40,1810,,
44,220,1383,1383,2026,40,1806,,
45,225,1384,1384,2027,40,1802,,
46,230,1385,1385,2028,40,1798,,
47,235,1386,1386,2029,40,1794,,
48,240,1387,1387,2030,40,1790,,
49,245,1388,1388,2031,40,1786,,
50,250,1389,1389,2032,40,1782,,
51,255,1390,1390,2033,40,1778,,
52,260,1391,1391,2034,40,1774,,
53,265,1392,1392,2035,40,1770,,
54,270,1393,1393,2036,40,1766,,
55,275,1394,1394,2037,40,1762,,
56,280,1395,1395,2038,40,1758,,
57,285,1396,1396,2039,40,1754,,
58,290,1397,1397,2040,40,1750,,
59,295,1820,1820,2270,40,1975,,
60,300,2014,2014,2464,40,2164,,
61,305,2015,2015,2658,28,2353,,
62,310,2016,2016,2659,40,2349,,
63,315,2017,2017,2660,40,2345,,
64,320,2018,2018,2661,40,2341,,
65,325,2019,2019,2662,40,2337,,
66,330,2020,2020,2663,40,2333,,
67,335,2021,2021,2664,40,2329,,
68,340,2022,2022,2665,40,2325,,
69,345,2023,2023,2666,40,2321,,
70,350,2024,2024,2667,40,2317,,
71,355,2025,2025,2668,40,2313,,
72,360,2026,2026,2669,40,2309,,
73,365,2027,2027,2670,40,2305,,
74,370,2028,2028,2671,40,2301,,
75,375,2029,2029,2672,40,2297,,
76,380,2030,2030,2673,40,2293,,
77,385,2031,2031,2674,40,2289,,
78,390,2032,2032,2675,40,2285,,
79,395,2033,2033,2676,40,2281,,
80,400,2034,2034,2677,40,2277,,
81,405,2035,2035,2678,40,2273,,
82,410,2036,2036,2679,40,2269,,
83,415,2037,2037,2680,40,2265,,
84,420,2038,2038,2681,40,2261,,
85,425,2039,2039,2682,40,2257,,
86,430,2040,2040,2683,40,2253,,
87,435,2041,2041,2684,40,2249,,
88,440,2271,2271,2721,40,2281,,
89,445,2465,2465,2915,40,2470,,
90,450,2659,2659,3109,40,2659,,
91,455,2660,2660,3303,28,2848,,
92,460,2661,2661,3304,28,2844,,
93,465,2662,2662,3305,28,2840,,
94,470,2663,2663,3306,32,2836,,
95,475,2664,2664,3307,32,2832,,
96,480,2665,2665,3308,32,2828,,
97,485,2666,2666,3309,32,2824,,
98,490,2667,2667,3310,36,2820,,
99,495,2668,2668,3311,36,2816,,
100,500,2669,2669,3312,36,2812,,
101,505,2670,2670,3313,36,2808,,
102,510,2671,2671,3314,36,2804,,
103,515,2672,2672,3315,36,2800,,
104,520,2673,2673,3316,36,2796,,
105,525,2674,2674,3317,36,2792,,
106,530,2675,2675,3318,40,2788,,
107,535,2676,2676,3319,40,2784,,
108,540,2677,2677,3320,40,2780,,
109,545,2678,2678,3321,40,2776,,
110,550,2679,2679,3322,40,2772,,
111,555,2680,2680,3323,40,2768,,
112,560,2681,2681,3324,40,2764,,
113,565,2682,2682,3325,40,2760,,
114,570,2683,2683,3326,40,2756,,
115,575,2684,2684,3327,40,2752,,
116,580,2685,2685,3328,40,2748,,
117,585,2722,2722,3329,40,2744,,
118,590,2916,2916,3366,40,2776,,
119,595,3110,3110,3560,40,2965,,
,,,,,,,,
,,,,,,2058.764706,,"40, 36, 32, 28"
,,,,,,4930.303,,"40, 30, 20, 10"
,,,,,,9407.61345,,"40,20,10,5"
