name, ncIn, ncOut, cIn, cOut, speed, time
1, 60, 780, 780, 1230, 40.0, 1170
2, 120, 840, 840, 1290, 40.0, 1170
3, 180, 900, 900, 1350, 40.0, 1170
4, 240, 960, 960, 1410, 40.0, 1170
5, 300, 1020, 1020, 1470, 40.0, 1170
6, 360, 1080, 1080, 1530, 40.0, 1170
7, 420, 1140, 1140, 1590, 40.0, 1170
8, 480, 1200, 1200, 1650, 40.0, 1170
9, 540, 1260, 1260, 1710, 40.0, 1170
10, 600, 1320, 1320, 1770, 40.0, 1170
11, 660, 1380, 1380, 1830, 40.0, 1170
12, 720, 1440, 1440, 1890, 40.0, 1170
13, 780, 1500, 1500, 1950, 40.0, 1170
14, 840, 1560, 1560, 2010, 40.0, 1170
15, 900, 1620, 1620, 2070, 40.0, 1170
16, 960, 1680, 1680, 2130, 40.0, 1170
17, 1020, 1740, 1740, 2190, 40.0, 1170
18, 1080, 1800, 1800, 2250, 40.0, 1170
19, 1140, 1860, 1860, 2310, 40.0, 1170
20, 1200, 1920, 1920, 2370, 40.0, 1170
21, 1260, 1980, 1980, 2430, 40.0, 1170
22, 1320, 2040, 2040, 2490, 40.0, 1170
23, 1380, 2100, 2100, 2550, 40.0, 1170
24, 1440, 2160, 2160, 2610, 40.0, 1170
25, 1500, 2220, 2220, 2670, 40.0, 1170
26, 1560, 2280, 2280, 2730, 40.0, 1170
27, 1620, 2340, 2340, 2790, 40.0, 1170
28, 1680, 2400, 2400, 2850, 40.0, 1170
29, 1740, 2460, 2460, 2910, 40.0, 1170
30, 1800, 2520, 2520, 2970, 40.0, 1170
31, 1860, 2580, 2580, 3030, 40.0, 1170
32, 1920, 2640, 2640, 3090, 40.0, 1170
33, 1980, 2700, 2700, 3150, 40.0, 1170
34, 2040, 2760, 2760, 3210, 40.0, 1170
35, 2100, 2820, 2820, 3270, 40.0, 1170
36, 2160, 2880, 2880, 3330, 40.0, 1170
37, 2220, 2940, 2940, 3390, 40.0, 1170
38, 2280, 3000, 3000, 3450, 40.0, 1170
39, 2340, 3060, 3060, 3510, 40.0, 1170
40, 2400, 3120, 3120, 3570, 40.0, 1170
41, 2460, 3180, 3180, 3630, 40.0, 1170
42, 2520, 3240, 3240, 3690, 40.0, 1170
43, 2580, 3300, 3300, 3750, 40.0, 1170
44, 2640, 3360, 3360, 3810, 40.0, 1170
